tid	eid	vid	family	type
3531573	0	0	28 Staalprofielen- koker RHS-2d	K220/120/6.3
3531583	0	0	28 Staalprofielen- koker RHS-2d	K200/100/16
3531585	0	0	28 Staalprofielen- koker RHS-2d	K200/100/12.5
3531587	0	0	28 Staalprofielen- koker RHS-2d	K200/100/10
3531589	0	0	28 Staalprofielen- koker RHS-2d	K200/100/8
3531591	0	0	28 Staalprofielen- koker RHS-2d	K200/100/6.3
3531593	0	0	28 Staalprofielen- koker RHS-2d	K180/100/12.5
3531595	0	0	28 Staalprofielen- koker RHS-2d	K180/100/10
3531597	0	0	28 Staalprofielen- koker RHS-2d	K180/100/8.8
3531599	0	0	28 Staalprofielen- koker RHS-2d	K180/100/8
3531601	0	0	28 Staalprofielen- koker RHS-2d	K180/100/7.1
3531603	0	0	28 Staalprofielen- koker RHS-2d	K180/100/6.3
3531605	0	0	28 Staalprofielen- koker RHS-2d	K160/90/10
3531607	0	0	28 Staalprofielen- koker RHS-2d	K160/90/8
3531609	0	0	28 Staalprofielen- koker RHS-2d	K160/90/7.1
3531611	0	0	28 Staalprofielen- koker RHS-2d	K160/90/6.3
3531613	0	0	28 Staalprofielen- koker RHS-2d	K160/90/4.5
3531615	0	0	28 Staalprofielen- koker RHS-2d	K160/80/12.5
3531617	0	0	28 Staalprofielen- koker RHS-2d	K160/80/10
3531619	0	0	28 Staalprofielen- koker RHS-2d	K160/80/8
3531621	0	0	28 Staalprofielen- koker RHS-2d	K160/80/7.1
3531623	0	0	28 Staalprofielen- koker RHS-2d	K150/100/12.5
3531625	0	0	28 Staalprofielen- koker RHS-2d	K150/100/10
3531627	0	0	28 Staalprofielen- koker RHS-2d	K150/100/8
3531629	0	0	28 Staalprofielen- koker RHS-2d	K150/100/6.3
3531631	0	0	28 Staalprofielen- koker RHS-2d	K150/100/5
3531635	0	0	28 Staalprofielen- koker RHS-2d	K140/80/8.8
3531637	0	0	28 Staalprofielen- koker RHS-2d	K140/80/8
3531639	0	0	28 Staalprofielen- koker RHS-2d	K140/80/7.1
3531641	0	0	28 Staalprofielen- koker RHS-2d	K140/80/6.3
3531643	0	0	28 Staalprofielen- koker RHS-2d	K140/80/5
3531645	0	0	28 Staalprofielen- koker RHS-2d	K140/80/4
3531647	0	0	28 Staalprofielen- koker RHS-2d	K140/70/10
3531649	0	0	28 Staalprofielen- koker RHS-2d	K140/70/8
3531651	0	0	28 Staalprofielen- koker RHS-2d	K140/70/7.1
3531653	0	0	28 Staalprofielen- koker RHS-2d	K140/70/6.3
3531655	0	0	28 Staalprofielen- koker RHS-2d	K140/70/5
3531657	0	0	28 Staalprofielen- koker RHS-2d	K140/70/4
3531659	0	0	28 Staalprofielen- koker RHS-2d	K120/80/10
3531661	0	0	28 Staalprofielen- koker RHS-2d	K120/80/8 2
3531663	0	0	28 Staalprofielen- koker RHS-2d	K120/80/6.3
3531665	0	0	28 Staalprofielen- koker RHS-2d	K120/80/5
3531667	0	0	28 Staalprofielen- koker RHS-2d	K120/60/10
3531669	0	0	28 Staalprofielen- koker RHS-2d	K120/60/8
3531671	0	0	28 Staalprofielen- koker RHS-2d	K120/60/7.1
3531673	0	0	28 Staalprofielen- koker RHS-2d	K120/60/6.3
3531675	0	0	28 Staalprofielen- koker RHS-2d	K120/60/5
3531677	0	0	28 Staalprofielen- koker RHS-2d	K120/60/4
3531679	0	0	28 Staalprofielen- koker RHS-2d	K120/60/3.6
3531681	0	0	28 Staalprofielen- koker RHS-2d	K110/60/4.5
3531683	0	0	28 Staalprofielen- koker RHS-2d	K110/60/3.6
3531685	0	0	28 Staalprofielen- koker RHS-2d	K100/60/8
3531687	0	0	28 Staalprofielen- koker RHS-2d	K100/60/7.1
3531689	0	0	28 Staalprofielen- koker RHS-2d	K100/60/6.3
3531691	0	0	28 Staalprofielen- koker RHS-2d	K100/60/5
3531693	0	0	28 Staalprofielen- koker RHS-2d	K100/60/3.6
3531695	0	0	28 Staalprofielen- koker RHS-2d	K100/50/8
3531697	0	0	28 Staalprofielen- koker RHS-2d	K100/50/7.1
3531699	0	0	28 Staalprofielen- koker RHS-2d	K100/50/6.3
3531701	0	0	28 Staalprofielen- koker RHS-2d	K100/50/5.6
3531703	0	0	28 Staalprofielen- koker RHS-2d	K100/50/5
3531705	0	0	28 Staalprofielen- koker RHS-2d	K100/50/4.5
3531707	0	0	28 Staalprofielen- koker RHS-2d	K100/50/4
3531709	0	0	28 Staalprofielen- koker RHS-2d	K90/50/7.1
3531711	0	0	28 Staalprofielen- koker RHS-2d	K90/50/6.3
3531713	0	0	28 Staalprofielen- koker RHS-2d	K90/50/5
3531715	0	0	28 Staalprofielen- koker RHS-2d	K90/50/4
3531717	0	0	28 Staalprofielen- koker RHS-2d	K90/50/3.2
3531719	0	0	28 Staalprofielen- koker RHS-2d	K80/40/6.3
3531721	0	0	28 Staalprofielen- koker RHS-2d	K80/40/5
3531723	0	0	28 Staalprofielen- koker RHS-2d	K80/40/4
3531725	0	0	28 Staalprofielen- koker RHS-2d	K70/40/4
3531727	0	0	28 Staalprofielen- koker RHS-2d	K60/40/5
3531729	0	0	28 Staalprofielen- koker RHS-2d	K60/40/4
3531731	0	0	28 Staalprofielen- koker RHS-2d	K60/40/2.9
3531733	0	0	28 Staalprofielen- koker RHS-2d	K50/30/4
3531735	0	0	28 Staalprofielen- koker RHS-2d	K50/30/2.9
3532284	0	0	28 Staalprofielen- koker SHS-2d	K400/16
3532286	0	0	28 Staalprofielen- koker SHS-2d	K400/12.5
3532288	0	0	28 Staalprofielen- koker SHS-2d	K350/12.5
3532290	0	0	28 Staalprofielen- koker SHS-2d	K350/10
3532292	0	0	28 Staalprofielen- koker SHS-2d	K300/12.5
3532294	0	0	28 Staalprofielen- koker SHS-2d	K250/12.5
3532296	0	0	28 Staalprofielen- koker SHS-2d	K200/12.5
3532298	0	0	28 Staalprofielen- koker SHS-2d	K180/12.5
3532300	0	0	28 Staalprofielen- koker SHS-2d	K160/10
3532302	0	0	28 Staalprofielen- koker SHS-2d	K150/12.5
3532304	0	0	28 Staalprofielen- koker SHS-2d	K150/10
3532306	0	0	28 Staalprofielen- koker SHS-2d	K140/10
3532308	0	0	28 Staalprofielen- koker SHS-2d	K120/6.3
3532310	0	0	28 Staalprofielen- koker SHS-2d	K120/5
3532312	0	0	28 Staalprofielen- koker SHS-2d	K100/6.3
3532314	0	0	28 Staalprofielen- koker SHS-2d	K90/6.3
3532316	0	0	28 Staalprofielen- koker SHS-2d	K90/5
3532318	0	0	28 Staalprofielen- koker SHS-2d	K80/6.3
3532320	0	0	28 Staalprofielen- koker SHS-2d	K80/3.6
3532322	0	0	28 Staalprofielen- koker SHS-2d	K70/6.3
3532324	0	0	28 Staalprofielen- koker SHS-2d	K60/6.3
3532326	0	0	28 Staalprofielen- koker SHS-2d	K300/10
3532328	0	0	28 Staalprofielen- koker SHS-2d	K300/8
3532330	0	0	28 Staalprofielen- koker SHS-2d	K250/10
3532332	0	0	28 Staalprofielen- koker SHS-2d	K250/8
3532334	0	0	28 Staalprofielen- koker SHS-2d	K200/10
3532336	0	0	28 Staalprofielen- koker SHS-2d	K200/8
3532338	0	0	28 Staalprofielen- koker SHS-2d	K200/6
3532340	0	0	28 Staalprofielen- koker SHS-2d	K180/10
3532342	0	0	28 Staalprofielen- koker SHS-2d	K180/8
3532344	0	0	28 Staalprofielen- koker SHS-2d	K160/8
3532346	0	0	28 Staalprofielen- koker SHS-2d	K160/6
3532348	0	0	28 Staalprofielen- koker SHS-2d	K150/8
3532350	0	0	28 Staalprofielen- koker SHS-2d	K150/6
3532352	0	0	28 Staalprofielen- koker SHS-2d	K150/5
3532354	0	0	28 Staalprofielen- koker SHS-2d	K140/8
3532356	0	0	28 Staalprofielen- koker SHS-2d	K140/5
3532358	0	0	28 Staalprofielen- koker SHS-2d	K120/8
3532360	0	0	28 Staalprofielen- koker SHS-2d	K120/6
3532362	0	0	28 Staalprofielen- koker SHS-2d	K120/4
3532364	0	0	28 Staalprofielen- koker SHS-2d	K100/8
3532366	0	0	28 Staalprofielen- koker SHS-2d	K100/5
3532368	0	0	28 Staalprofielen- koker SHS-2d	K100/4
3532370	0	0	28 Staalprofielen- koker SHS-2d	K90/4
3532372	0	0	28 Staalprofielen- koker SHS-2d	K90/3
3532374	0	0	28 Staalprofielen- koker SHS-2d	K80/5
3532376	0	0	28 Staalprofielen- koker SHS-2d	K80/4
3532378	0	0	28 Staalprofielen- koker SHS-2d	K80/3
3532380	0	0	28 Staalprofielen- koker SHS-2d	K70/5
3532382	0	0	28 Staalprofielen- koker SHS-2d	K70/3
3532384	0	0	28 Staalprofielen- koker SHS-2d	K60/5
3532386	0	0	28 Staalprofielen- koker SHS-2d	K60/4
3532388	0	0	28 Staalprofielen- koker SHS-2d	K60/3
3532390	0	0	28 Staalprofielen- koker SHS-2d	K50/4
3532392	0	0	28 Staalprofielen- koker SHS-2d	K50/3
3532394	0	0	28 Staalprofielen- koker SHS-2d	K40/4
3532396	0	0	28 Staalprofielen- koker SHS-2d	K40/3
3532923	0	0	28 Staalprofielen- L-2d	L40/4
3532925	0	0	28 Staalprofielen- L-2d	L40/5
3532927	0	0	28 Staalprofielen- L-2d	L45/4
3532929	0	0	28 Staalprofielen- L-2d	L45/5
3532931	0	0	28 Staalprofielen- L-2d	L50/5
3532933	0	0	28 Staalprofielen- L-2d	L50/6
3532935	0	0	28 Staalprofielen- L-2d	L50/8
3532937	0	0	28 Staalprofielen- L-2d	L60/5
3532939	0	0	28 Staalprofielen- L-2d	L60/6
3532941	0	0	28 Staalprofielen- L-2d	L60/8
3532943	0	0	28 Staalprofielen- L-2d	L70/7
3532945	0	0	28 Staalprofielen- L-2d	L75/7
3532947	0	0	28 Staalprofielen- L-2d	L75/8
3532949	0	0	28 Staalprofielen- L-2d	L80/8
3532951	0	0	28 Staalprofielen- L-2d	L80/10
3532953	0	0	28 Staalprofielen- L-2d	L90/7
3532955	0	0	28 Staalprofielen- L-2d	L90/9
3532957	0	0	28 Staalprofielen- L-2d	L100/8
3532959	0	0	28 Staalprofielen- L-2d	L100/10
3532961	0	0	28 Staalprofielen- L-2d	L100/12
3532963	0	0	28 Staalprofielen- L-2d	L110/10
3532965	0	0	28 Staalprofielen- L-2d	L120/10
3532967	0	0	28 Staalprofielen- L-2d	L120/12
3532969	0	0	28 Staalprofielen- L-2d	L120/15
3532971	0	0	28 Staalprofielen- L-2d	L130/12
3532973	0	0	28 Staalprofielen- L-2d	L140/10
3532975	0	0	28 Staalprofielen- L-2d	L140/13
3532977	0	0	28 Staalprofielen- L-2d	L150/10
3532979	0	0	28 Staalprofielen- L-2d	L150/12
3532981	0	0	28 Staalprofielen- L-2d	L150/15
3532983	0	0	28 Staalprofielen- L-2d	L150/18
3532985	0	0	28 Staalprofielen- L-2d	L160/15
3532987	0	0	28 Staalprofielen- L-2d	L180/16
3532989	0	0	28 Staalprofielen- L-2d	L180/18
3532991	0	0	28 Staalprofielen- L-2d	L200/16
3532993	0	0	28 Staalprofielen- L-2d	L200/18
3532995	0	0	28 Staalprofielen- L-2d	L200/20
3532997	0	0	28 Staalprofielen- L-2d	L200/24
3532999	0	0	28 Staalprofielen- L-2d	L50/30/4
3533001	0	0	28 Staalprofielen- L-2d	L50/30/5
3533003	0	0	28 Staalprofielen- L-2d	L60/30/5
3533005	0	0	28 Staalprofielen- L-2d	L60/40/5
3533007	0	0	28 Staalprofielen- L-2d	L60/40/6
3533009	0	0	28 Staalprofielen- L-2d	L75/50/7
3533011	0	0	28 Staalprofielen- L-2d	L80/40/6
3533013	0	0	28 Staalprofielen- L-2d	L80/40/8
3533015	0	0	28 Staalprofielen- L-2d	L80/60/7
3533017	0	0	28 Staalprofielen- L-2d	L80/65/8
3533019	0	0	28 Staalprofielen- L-2d	L90/60/8
3533021	0	0	28 Staalprofielen- L-2d	L100/50/6
3533023	0	0	28 Staalprofielen- L-2d	L100/50/8
3533025	0	0	28 Staalprofielen- L-2d	L100/65/9
3533027	0	0	28 Staalprofielen- L-2d	L120/80/8
3533029	0	0	28 Staalprofielen- L-2d	L120/80/10
3533031	0	0	28 Staalprofielen- L-2d	L130/65/8
3533033	0	0	28 Staalprofielen- L-2d	L150/75/9
3533035	0	0	28 Staalprofielen- L-2d	L150/75/11
3533037	0	0	28 Staalprofielen- L-2d	L150/100/10
3533039	0	0	28 Staalprofielen- L-2d	L150/100/12
3533041	0	0	28 Staalprofielen- L-2d	L160/80/10
3533043	0	0	28 Staalprofielen- L-2d	L160/80/12
3533045	0	0	28 Staalprofielen- L-2d	L200/100/10
3533047	0	0	28 Staalprofielen- L-2d	L200/100/12
3533049	0	0	28 Staalprofielen- L-2d	L200/100/14
3533051	0	0	28 Staalprofielen- L-2d	L130/65/10
3533636	0	0	28 Staalprofielen NP-profiel	NP 10
3533638	0	0	28 Staalprofielen NP-profiel	NP 11
3533640	0	0	28 Staalprofielen NP-profiel	NP 12
3533642	0	0	28 Staalprofielen NP-profiel	NP 13
3533644	0	0	28 Staalprofielen NP-profiel	NP 14
3533646	0	0	28 Staalprofielen NP-profiel	NP 15
3533648	0	0	28 Staalprofielen NP-profiel	NP 16
3533650	0	0	28 Staalprofielen NP-profiel	NP 17
3533652	0	0	28 Staalprofielen NP-profiel	NP 55
3533654	0	0	28 Staalprofielen NP-profiel	NP 50
3533656	0	0	28 Staalprofielen NP-profiel	NP 47.5
3533658	0	0	28 Staalprofielen NP-profiel	NP 45
3533660	0	0	28 Staalprofielen NP-profiel	NP 42.5
3533662	0	0	28 Staalprofielen NP-profiel	NP 40
3533664	0	0	28 Staalprofielen NP-profiel	NP 38
3533666	0	0	28 Staalprofielen NP-profiel	NP 36
3533668	0	0	28 Staalprofielen NP-profiel	NP 34
3533670	0	0	28 Staalprofielen NP-profiel	NP 32
3533672	0	0	28 Staalprofielen NP-profiel	NP 30
3533674	0	0	28 Staalprofielen NP-profiel	NP 29
3533676	0	0	28 Staalprofielen NP-profiel	NP 28
3533678	0	0	28 Staalprofielen NP-profiel	NP 27
3533680	0	0	28 Staalprofielen NP-profiel	NP 26
3533682	0	0	28 Staalprofielen NP-profiel	NP 25
3533684	0	0	28 Staalprofielen NP-profiel	NP 24
3533686	0	0	28 Staalprofielen NP-profiel	NP 22
3533688	0	0	28 Staalprofielen NP-profiel	NP 20
3533690	0	0	28 Staalprofielen NP-profiel	NP 18
3534288	0	0	28 Staalprofielen- UPE-2d	UPE80
3534290	0	0	28 Staalprofielen- UPE-2d	UPE100
3534292	0	0	28 Staalprofielen- UPE-2d	UPE120
3534294	0	0	28 Staalprofielen- UPE-2d	UPE140
3534296	0	0	28 Staalprofielen- UPE-2d	UPE160
3534298	0	0	28 Staalprofielen- UPE-2d	UPE180
3534300	0	0	28 Staalprofielen- UPE-2d	UPE200
3534302	0	0	28 Staalprofielen- UPE-2d	UPE220
3534304	0	0	28 Staalprofielen- UPE-2d	UPE240
3534306	0	0	28 Staalprofielen- UPE-2d	UPE270
3534308	0	0	28 Staalprofielen- UPE-2d	UPE300
3534310	0	0	28 Staalprofielen- UPE-2d	UPE360
3534312	0	0	28 Staalprofielen- UPE-2d	UPE400
3534314	0	0	28 Staalprofielen- UPE-2d	UPE330
3534755	0	0	28 Staalprofielen-UNP-2d	UNP80
3534757	0	0	28 Staalprofielen-UNP-2d	UNP400
3534759	0	0	28 Staalprofielen-UNP-2d	UNP380
3534761	0	0	28 Staalprofielen-UNP-2d	UNP350
3534763	0	0	28 Staalprofielen-UNP-2d	UNP320
3534765	0	0	28 Staalprofielen-UNP-2d	UNP300
3534767	0	0	28 Staalprofielen-UNP-2d	UNP280
3534769	0	0	28 Staalprofielen-UNP-2d	UNP260
3534771	0	0	28 Staalprofielen-UNP-2d	UNP240
3534773	0	0	28 Staalprofielen-UNP-2d	UNP220
3534775	0	0	28 Staalprofielen-UNP-2d	UNP200
3534777	0	0	28 Staalprofielen-UNP-2d	UNP180
3534779	0	0	28 Staalprofielen-UNP-2d	UNP160
3534781	0	0	28 Staalprofielen-UNP-2d	UNP140
3534783	0	0	28 Staalprofielen-UNP-2d	UNP120
3534785	0	0	28 Staalprofielen-UNP-2d	UNP100
3537654	0	0	23 VBI kanaalplaat	KPV150
3537656	0	0	23 VBI kanaalplaat	KPV200
3537658	0	0	23 VBI kanaalplaat	KPV260
3537660	0	0	23 VBI kanaalplaat	KPV320
3537662	0	0	23 VBI kanaalplaat	KPV400
3538478	0	0	23 Dycore Ribbenvloer	Type R350_0.9m_ RC3.0
3538480	0	0	23 Dycore Ribbenvloer	Type R350_1.2m_ RC3.0
3538482	0	0	23 Dycore Ribbenvloer	Type R350_1.2m_ RC3.5
3538484	0	0	23 Dycore Ribbenvloer	Type R350_1.2m_ RC4.0
3538486	0	0	23 Dycore Ribbenvloer	Type R350_1.2m_ RC6.6
3538488	0	0	23 Dycore Ribbenvloer	Type R350_0.9m_ RC3.5
3538490	0	0	23 Dycore Ribbenvloer	Type R350_0.9m_ RC4.0
3538492	0	0	23 Dycore Ribbenvloer	Type R350_0.9m_ RC6.0
3540181	0	0	23 VBI_PS-combinatie	RC 3.5 630
3540183	0	0	23 VBI_PS-combinatie	RC 3.5 510
3540185	0	0	23 VBI_PS-combinatie	RC 4.0 630
3540187	0	0	23 VBI_PS-combinatie	RC 4.0 510
3540189	0	0	23 VBI_PS-combinatie	RC 5.0 510
3540191	0	0	23 VBI_PS-combinatie	RC 6.5 510
3540193	0	0	23 VBI_PS-combinatie	RC 5.0 630
3540195	0	0	23 VBI_PS-combinatie	RC 6.5 630
3540727	0	0	23 WAARDO kanaalplaat	KPV200
3540729	0	0	23 WAARDO kanaalplaat	KPV320
3540731	0	0	23 WAARDO kanaalplaat	KPV265
3540733	0	0	23 WAARDO kanaalplaat	KPV165
3561891	0	0	unknown	unknown
3561892	0	0	unknown	unknown
3561893	0	0	unknown	unknown
3562122	0	0	27 kantpan_aanzicht	27_DC_kantpan_aanzicht
3562124	0	0	27 Sneldek_aanz	27_NL_Sneldek_aanz
3562126	0	0	47 J047000_Detail	47_BCB_J047000-_Detail
3563136	0	0	unknown	unknown
3563137	0	0	unknown	unknown
3563138	0	0	unknown	unknown
3563139	0	0	unknown	unknown
3563140	0	0	unknown	unknown
3563264	0	0	21 steen_s	Type 5 ijsselformaat s
3563265	0	0	22 blok_kalkzandsteen	198x100
3563268	0	0	21 steen_s	Type 3 waalformaatKOP
3563963	0	0	00 hout_rechthoekig_sls	Vuren 18x71
3563966	0	0	00 hout_rechthoekig_sls	Vuren 30x50
3563968	0	0	00 hout_rechthoekig_sls	Vuren 44x145
3563971	0	0	00 hout_rechthoekig_sls	Vuren 22x171
3563972	0	0	00 hout_rechthoekig_sls	Vuren 18x85
3565185	0	0	00 hout_rechthoekig_sls	Vuren Gewolmaniseerd 71x196
3565187	0	0	00 hout_rechthoekig_sls	Vuren 71x146
3565189	0	0	00 hout_rechthoekig_sls	Vuren 56x121
3565191	0	0	00 hout_rechthoekig_sls	Vuren 22x50
3565193	0	0	00 hout_rechthoekig_sls	Vuren 96x146
3565195	0	0	00 hout_rechthoekig_sls	Vuren 96x121
3565197	0	0	00 hout_rechthoekig_sls	Vuren 96x96
3565199	0	0	00 hout_rechthoekig_sls	Vuren 71x271
3565201	0	0	00 hout_rechthoekig_sls	Vuren 71x246
3565203	0	0	00 hout_rechthoekig_sls	Vuren 71x121
3565205	0	0	00 hout_rechthoekig_sls	Vuren 71x96
3565207	0	0	00 hout_rechthoekig_sls	Vuren 46x196
3565209	0	0	00 hout_rechthoekig_sls	Vuren 46x136
3565211	0	0	00 hout_rechthoekig_sls	Vuren 46x121
3565213	0	0	00 hout_rechthoekig_sls	Vuren 46x96
3565215	0	0	00 hout_rechthoekig_sls	Vuren 46x71
3565217	0	0	00 hout_rechthoekig_sls	Vuren 45x70
3565219	0	0	00 hout_rechthoekig_sls	Vuren 45x22
3565221	0	0	00 hout_rechthoekig_sls	Vuren 44x44
3565223	0	0	00 hout_rechthoekig_sls	SLS 38x156
3565225	0	0	00 hout_rechthoekig_sls	SLS 38x38
3565227	0	0	00 hout_rechthoekig_sls	SLS 38x62
3565229	0	0	00 hout_rechthoekig_sls	SLS 38x96
3565231	0	0	00 hout_rechthoekig_sls	Vuren 46x171
3565233	0	0	00 hout_rechthoekig_sls	Vuren 46x146
3565235	0	0	00 hout_rechthoekig_sls	SLS 38x286
3565237	0	0	00 hout_rechthoekig_sls	SLS 38x120
3577383	0	0	28 snelboutanker 2d	Snelboutanker M16
3577385	0	0	28 snelboutanker 2d	Snelboutanker M12
3577387	0	0	28 snelboutanker 2d	Snelboutanker M10
3577389	0	0	28 snelboutanker 2d	Snelboutanker M8
3577391	0	0	28 snelboutanker 2d	Snelboutanker M6
3581016	0	0	28 bout met ring boven 2d	M20
3581018	0	0	28 bout met ring boven 2d	M24
3581020	0	0	28 bout met ring boven 2d	M16
3581022	0	0	28 bout met ring boven 2d	M12
3581024	0	0	28 bout met ring boven 2d	M10
3581026	0	0	28 bout met ring boven 2d	M8
3581028	0	0	28 bout met ring boven 2d	M22
3581030	0	0	28 bout met ring boven 2d	M24 met ring
3581032	0	0	28 bout met ring boven 2d	M22 met ring
3581034	0	0	28 bout met ring boven 2d	M20 met ring
3581036	0	0	28 bout met ring boven 2d	M16 met ring
3581038	0	0	28 bout met ring boven 2d	M12 met ring
3581040	0	0	28 bout met ring boven 2d	M10 met ring
3581042	0	0	28 bout met ring boven 2d	M8 met ring
3627825	0	0	00 peilmaat_5x	Type 1
3635668	0	0	00 bout+moer	M6
3635670	0	0	00 bout+moer	M8
3635672	0	0	00 bout+moer	M10
3635674	0	0	00 bout+moer	M16
3635676	0	0	00 bout+moer	M12
3639536	0	0	90 boom_1e_orde	Tree with Shading
3639990	0	0	90 boom	90_DI_boom
3640640	0	0	90 man_wijzend	Type 1
3641050	0	0	90 vrouw_aanzicht	Type 1
3641450	0	0	91 boom2	Type 1
3641820	0	0	90 peugeot_aanzicht	Type 1
3642211	0	0	90 renault	Type 1
3642602	0	0	91 boom02_2D	91_CC_DET_boom2
3643078	0	0	91 boom01_2D	91_CC_DET_boom2
3645209	0	0	90 boom_aanzicht	1. Boom+Schaduw
3645213	0	0	90 boom_aanzicht	2. Boom
3649391	0	0	23 Comflor	Comflor100
3649393	0	0	23 Comflor	Comflor210
3649395	0	0	23 Comflor	Comflor225
3649404	0	0	23 VBI appartementenvloer	APP320
3649405	0	0	23 Hectar-isolatie	300
3649416	0	0	23 HODY-plaat	HODY60
3649417	0	0	23 HODY-plaat	HODY80
3649418	0	0	23 HODY-plaat	HODY146
3649423	0	0	23 Comflor	Comflor46
3649425	0	0	23 Comflor	Comflor51
3649427	0	0	23 Comflor	Comflor60
3649429	0	0	23 Comflor	Comflor75
3649431	0	0	23 Comflor	Comflor95
3658578	0	0	28 las_symbool	a=5 mm
3658608	0	0	unknown	unknown
3658616	0	0	unknown	unknown
3658629	0	0	unknown	unknown
3658641	0	0	unknown	unknown
3658653	0	0	unknown	unknown
3658672	0	0	28 bout_symbolisch	Type 1
3658675	0	0	28 reeks_staven	Type 1
3658676	0	0	28 balk	Type 1 dekking 35/40
3658677	0	0	28 beugels	rond 8
3658705	0	0	00 hout-rechthoekig	SLS 38x121
3658720	0	0	28 Staalprofielen	L90/60/8
3685472	0	0	unknown	unknown
3685476	0	0	unknown	unknown
3685514	0	0	00 plaatmateriaal	d=10 mm
3685518	0	0	00 plaatmateriaal	d=12 mm
3685528	0	0	00 plaatmateriaal	d=15 mm
3685544	0	0	unknown	unknown
3685552	0	0	28 schroef	5.0x60
3685572	0	0	28 schroef	10x300
3717732	0	0	31 celband	Type 1
3717820	0	0	00 msprofiel	75
3717822	0	0	00 stalenschuifdeurprofiel	00_DI_stalenschuifdeurprofiel
3717854	0	0	unknown	unknown
3717858	0	0	00 stalendeurprofiel	00_DI_stalendeurprofiel
3717882	0	0	unknown	unknown
3717894	0	0	00 stalendeurprofiel 30min	00_DI_stalendeurprofiel 30min
3717926	0	0	unknown	unknown
3717940	0	0	00 stalendeurtussenprofiel	00_DI_stalendeurtussenprofiel
3717942	0	0	unknown	unknown
3717970	0	0	unknown	unknown
3717982	0	0	unknown	unknown
3718037	0	0	00 msprofiel	50
3732271	0	0	unknown	unknown
3732272	0	0	28 g_bout met ring boven 2d	M8 met ring
3732278	0	0	28 las_symbool	2. a=5 mm
3732333	0	0	unknown	unknown
3732341	0	0	unknown	unknown
3732351	0	0	17 paal_aanzicht	Type 2
3735332	0	0	23 VBI massieve plaatvloer	MPV200
3892920	0	0	00 hout_rechthoekig_sls	Vuren 80x180
3892982	0	0	00 hout_rechthoekig_sls	Vuren 27x45
3893062	0	0	00 hout_rechthoekig_sls	Vuren 146x59
3893124	0	0	00 hout_rechthoekig_sls	Vuren 150x50
3893256	0	0	00 hout_rechthoekig_sls	SLS 38x86
3893326	0	0	00 hout_rechthoekig_sls	SLS 38x58
3893411	0	0	00 hout_rechthoekig_sls	Vuren 22x44
3893512	0	0	00 hout_rechthoekig_sls	Vuren 15x44
3893584	0	0	00 hout_rechthoekig_sls	Vuren 10x44
3893662	0	0	00 hout_rechthoekig_sls	Vuren 30x45
3893732	0	0	00 hout_rechthoekig_sls	Vuren 46x28
3894021	0	0	00 hout_rechthoekig_sls	Vuren 200x160
3894206	0	0	00 hout_rechthoekig_sls	Vuren 160x160
3894217	0	0	00 hout_rechthoekig_sls	Vuren 140x320
3894289	0	0	00 hout_rechthoekig_sls	SLS 38x251
3894397	0	0	00 hout_rechthoekig_sls	SLS 38x219
3894448	0	0	00 hout_rechthoekig_sls	SLS 38x209
3894593	0	0	00 hout_rechthoekig_sls	Vuren 22x100
3894605	0	0	00 hout_rechthoekig_sls	Vuren 22x75
3894659	0	0	00 hout_rechthoekig_sls	Vuren 20x30
3894720	0	0	00 hout_rechthoekig_sls	Vuren 19x45
3906456	0	0	31 alu_kozijnstijl_draaikiepraam	draaikiepraam
3906462	0	0	31 alu_bovenstijl	Type 1
3906464	0	0	31 alu_onderstijl	draaikiepraam
3955176	0	0	31 alu_raam stijl1	draaikiepraam 2
3965445	0	0	31 alu_deurstlijl_67X84	draaikiepraam
3965447	0	0	31 alu_midden stijl1	draaikiepraam 2
3965449	0	0	31 alu_stlijl_35x75	draaikiepraam
3993671	0	0	31 alu_zijstijl	Type 1
4020701	0	0	31 hebo schuifpui schuivend deel onder 67x140	56x176
4074507	0	0	16_PS-Bekisting_2D	type 01
4082082	0	0	unknown	unknown
4082142	0	0	unknown	unknown
4082159	0	0	28 schroeven 2D	Verzonken schroef 5.0x80mm
4082163	0	0	28 schroeven 2D	Tellerkop-schroef 10.0x200mm
4082164	0	0	28 schroeven 2D	Tellerkop-schroef 10.0x220mm
4082180	0	0	00 hout-rechthoekig	SLS 38x89
4082182	0	0	00 hout-rechthoekig	SLS 38x140
4082184	0	0	00 hout-rechthoekig	Vuren 18x45
4082186	0	0	00 hout-rechthoekig	SLS 38x184
4082190	0	0	00 hout rechthoekig	28x45
4082192	0	0	00 hout-rechthoekig	SLS 17x89
4082194	0	0	unknown	unknown
4082198	0	0	00 hout-rechthoekig	Vuren 44x146
4082200	0	0	unknown	unknown
4090048	0	0	00 hout-rechthoekig	Vuren 44x145
4090049	0	0	00 hout-rechthoekig	SLS 38x235
4090057	0	0	28 schroeven 2D	Tellerkop-schroef 10.0x140mm
4090071	0	0	00 hout-rechthoekig	Vuren 44x121
4090073	0	0	00 hout-rechthoekig	Vuren Gewolmaniseerd 18x45
4090075	0	0	00 hout-rechthoekig	Vuren Gewolmaniseerd 22x50
4093060	0	0	NLRS_28_DI_beugel_3_snedig	rond 8
4093063	0	0	NLRS_28_DI_beugels_aanzicht	rond 8
4093066	0	0	NLRS_28_DI_net	Type 1
