tid	eid	vid	family	type
3245535	0	0	28 schroeven 2D	Verzonken schroef 5.0x60mm
3245536	0	0	28 schroeven 2D	Verzonken schroef 5.0x100mm
3245540	0	0	00 plaatmateriaal1	d=10 mm
3245542	0	0	00 plaatmateriaal1	d=15 mm
3245550	0	0	00 plaatmateriaal1	d=8 mm
3245552	0	0	00 plaatmateriaal1	d=18 mm
3245572	0	0	28 schroeven 2D	Verzonken schroef 6.0x90mm
3245574	0	0	00 hout rechthoekig	18x45
3257426	0	0	unknown	unknown
3257480	0	0	00 bout	M10
3257497	0	0	unknown	unknown
3257507	0	0	unknown	unknown
3257538	0	0	31 dubbel_glas	Type 2
3257540	0	0	28 schroef	5.0x70
3257546	0	0	unknown	unknown
3291450	0	0	unknown	unknown
3291471	0	0	unknown	unknown
3291483	0	0	unknown	unknown
3291488	0	0	27 compri_daktrim	27_CC_DET_compri_daktrim_CA654A
3291501	0	0	00_Maaiveld	Type 1
3291569	0	0	unknown	unknown
3291579	0	0	unknown	unknown
3291583	0	0	unknown	unknown
3291589	0	0	28 schroeven 2D	Verzonken schroef 4.0x50mm
3291593	0	0	00 plaatmateriaal	d=18 mm
3291595	0	0	unknown	unknown
3291605	0	0	00 lijmnaad_bol	00_MV_lijmnaad_bol
3291607	0	0	31 dubbel_glas	Type 4 vliesgevel
3291611	0	0	31 dubbel_glas	Type 5 deur
3291615	0	0	31 dubbel_glas	Type 4 vliesgevel 2
3291623	0	0	31 ruit	Type 1
3291631	0	0	unknown	unknown
3291635	0	0	unknown	unknown
3291641	0	0	unknown	unknown
3291649	0	0	42 isolatie	Type 1
3291651	0	0	00 hout rechthoekig	38x140
3291653	0	0	unknown	unknown
3291674	0	0	31 dubbel_glas	Type 3 dakraam
3344840	0	0	00 z plaatje-los	REVIT FAMILY - z plaatje-los
3344872	0	0	00 Break Line 0,25	M_Break Line
3344874	0	0	30 L 100x65x7	L 100x65x7
3344883	0	0	00 Schroef hout_platte kop_lang	Schroef hout_platte kop_lang
3344893	0	0	40 multiplex	D25
3344903	0	0	32 DO_MP_aluminium kozijnstijl1_gen_ASK	32_DO_MP_aluminium kozijnstijl1_gen_ASK
3344905	0	0	32 DO_MP_aluminium kozijnstijl3_gen_ASK	32_DO_MP_aluminium kozijnstijl3_gen_ASK
3344907	0	0	32 DO_MP_aluminium kozijnstijl2_gen_ASK	32_DO_MP_aluminium kozijnstijl2_gen_ASK
3344909	0	0	28 UNP 160	UNP 160
3344916	0	0	00 schroef zetwerk_met_plug	Schroef zetwerk_met_plug
3344919	0	0	30 L 60x60x6	L 60x60x6
3344921	0	0	30 L 90x90x8	L 90x90x8
3344927	0	0	00 OVH_dockdeur_H_detail	OVH_dockdeur_H_detail
3344931	0	0	00 schroef Sandwichpaneel	Schroef Sandwichpaneel
3344933	0	0	00 schroef zetwerk_kort	Schroef zetwerk_kort
3344949	0	0	00 Kingspan_Detail_KS1000_Evolution_dikte 88	Kingspan_Detail_KS1000_Evolution_dikte 88
3344952	0	0	42 gipsplaat	D12.5
3344958	0	0	00 Schroef hout_platte kop_kort	Schroef hout_platte kop_kort
3344960	0	0	28 MetalStud profielen	C75
3344972	0	0	31 vliesgevelprofiel-basis-200_DC9	31_vliesgevelprofiel-basis-200_DC9
3344974	0	0	31 triple-glas	31_triple-glas
3344977	0	0	31 shadowbox	31_shadowbox
3344985	0	0	31 vliesgevelprofiel-200_DC9	31_vliesgevelprofiel-200_DC9
3345001	0	0	00 schroef zetwerk_met_plug_lang	Schroef zetwerk_met_plug_lang
3345003	0	0	40 multiplex	D18
3345009	0	0	31 deurkruk	31_deurkruk
3345011	0	0	31 kozijnprofiel_hout-2_114x67	31_kozijnprofiel_hout-2_114x67
3345015	0	0	21 Cellenbeton 150x750 brandwand	Cellenbeton 150x750 brandwand
3345019	0	0	00 schroef zetwerk_lang	Schroef zetwerk_lang
3345023	0	0	00 test T	test T
3345025	0	0	31 GlasVast	DI_GlasVast
3345032	0	0	90 betontegel	std
3345038	0	0	16 anker-recht	16_anker-recht
3345040	0	0	21 stelblokje	21_stelblokje
3345042	0	0	00 hoogtesymbool	hoogtesymbool
3345044	0	0	90 maaiveld	std
3345046	0	0	47 Maaiveld schaal 5	Maaiveld schaal 5
3345073	0	0	90 straatklinker	std
3345092	0	0	23 kanaalplaat_200	std
3345098	0	0	40 multiplex	D20
3345099	0	0	35 kantlat plafond1	kantlat plafond 2
3345105	0	0	00 schroef zetwerk_extra lang	Schroef zetwerk_extra lang
3345114	0	0	31 Reynaers_bb_onderdorpel_01	Reynaers_bb_onderdorpel_01
3345115	0	0	00 Carpeting-Section	M_Carpeting-Section
3345121	0	0	22 Cellenbeton 150mm	22 Cellenbeton 150mm
3345123	0	0	47 Grind_beton-groot	Grind_beton-groot
3345137	0	0	31 alucobond	31_alucobond
3345141	0	0	34 Bent plate_zonder railing detail item	Bent plate_120mm_zonder railing detail item 2
3345145	0	0	34 Bent plate detail item	Bent plate detail item
3345150	0	0	23 kanaalplaat_320	std
3345151	0	0	21 Cellenbeton 150x600 brandwand	Cellenbeton 150x600 brandwand
3345179	0	0	32_DO_MP_aluminium kozijnstijl	32_DO_MP_aluminium kozijnstijl
3429322	0	0	unknown	unknown
3429335	0	0	31 stelblokje_	Type 1
3429338	0	0	27 compri_daktrim	Type 1
3429347	0	0	unknown	unknown
3429367	0	0	unknown	unknown
3429371	0	0	unknown	unknown
3429384	0	0	47 Terca dakpan Narvik OVH	Type 1
3429385	0	0	47 bakgoot	Type 1
3429387	0	0	unknown	unknown
3429391	0	0	47 dakpan	Type 1
3429402	0	0	unknown	unknown
3429410	0	0	unknown	unknown
3429450	0	0	unknown	unknown
3429454	0	0	unknown	unknown
3429472	0	0	23 PS_Combinatie passtuk	23_MV_PS_Combinatie passtuk
3429478	0	0	21 steen_negge_s	Negge 85 mm waalformaat 50+10
3429480	0	0	23 PS_Combinatie	23_MV_PS_Combinatie
3429518	0	0	00 hout_rechthoekig_sls	Vuren 44x96
3429520	0	0	00 hout_rechthoekig_sls	Vuren 44x121
3429546	0	0	00 hout_rechthoekig_sls	Vuren 18x50
3429554	0	0	unknown	unknown
3429558	0	0	00 hout_rechthoekig_sls	Vuren 71x171
3429560	0	0	00 hout_rechthoekig_sls	Vuren Gewolmaniseerd 22x32
3429567	0	0	52 mastgoot_zink 45?	M37 dakhelling 45?
3429568	0	0	00 hout_rechthoekig_sls	Vuren Gewolmaniseerd 22x45
3429572	0	0	00 hout_rechthoekig_sls	Vuren 44x144
3429582	0	0	47 dakpan OVH-pan_ver	nokvorst
3429584	0	0	21 Line_Finishing	Lead
3429621	0	0	28 schroeven 2D	Verzonken schroef 6.0x100mm
3429623	0	0	28 schroeven 2D	Tellerkop-schroef 10.0x160mm
3429646	0	0	00 hout_rechthoekig_sls	Vuren 38x184
3429648	0	0	00 hout_rechthoekig_sls	Vuren 38x121
3429650	0	0	00 hout_rechthoekig_sls	Vuren 71x100
3429682	0	0	unknown	unknown
3429686	0	0	unknown	unknown
3430089	0	0	21 steen_s	Type 1 waalformaat 2
3447214	0	0	unknown	unknown
3447226	0	0	unknown	unknown
3447243	0	0	unknown	unknown
3447247	0	0	unknown	unknown
3447251	0	0	unknown	unknown
3447255	0	0	unknown	unknown
3447259	0	0	28 chemische ankers met bout 2d	Anker M16
3447261	0	0	00 hout rechthoekig	44x70
3447271	0	0	00 hout_rechthoekig_sls	Vuren 22x38
3447277	0	0	00 hout_rechthoekig_sls	SLS 38x235
3447287	0	0	31 driedubbel_glas	HR+++ 2
3447291	0	0	00 hout_rechthoekig_sls	SLS 38x33
3447293	0	0	00 hout_rechthoekig_sls	SLS 38x100
3447295	0	0	00 hout_rechthoekig_sls	SLS 38x44
3451069	0	0	90 draaicirkels_vrachtwagen	90_DI_draaicirkels_vrachtwagen
3529370	0	0	28 Staalprofielen B-profiel	B 100
3529933	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL60
3529935	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL55
3529937	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL50
3529939	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL47.5
3529941	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL45
3529943	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL42.5
3529945	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL40
3529947	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL38
3529949	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL36
3529951	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL34
3529953	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL32
3529955	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL30
3529957	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL28
3529959	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL26
3529961	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL24
3529963	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL22
3529965	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL20
3529967	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL18
3529969	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL16
3529971	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL14
3529973	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIL12
3529975	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DiL10
3529977	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE100
3529979	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE95
3529981	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE90
3529983	0	0	28 Staalprofielen DIN,DIE,DILl 2d	DIE85
